condition,metric,rho,lo,hi,ci_excludes_zero,n_valid,n_boot
weak_bart,rouge1,0.3635,0.2541,0.4699,True,2000,2000
weak_bart,rouge2,0.3893,0.2791,0.4936,True,2000,2000
weak_bart,rougeL,0.3903,0.2813,0.4934,True,2000,2000
weak_bart,bleu,0.321,0.2076,0.4304,True,2000,2000
weak_bart,bertscore_f1,0.44,0.3431,0.5378,True,2000,2000
zero_shot,rouge1,0.053,-0.0762,0.1823,False,2000,2000
zero_shot,rouge2,0.1348,0.0158,0.2507,True,2000,2000
zero_shot,rougeL,0.0289,-0.0962,0.1535,False,2000,2000
zero_shot,bleu,0.0799,-0.0385,0.1989,False,2000,2000
zero_shot,bertscore_f1,0.2232,0.1139,0.3281,True,2000,2000
few_shot,rouge1,0.0228,-0.099,0.1495,False,2000,2000
few_shot,rouge2,0.1929,0.0775,0.3041,True,2000,2000
few_shot,rougeL,0.1156,-0.0132,0.2394,False,2000,2000
few_shot,bleu,0.135,0.0163,0.2567,True,2000,2000
few_shot,bertscore_f1,0.3461,0.2429,0.4404,True,2000,2000
