contrast,diff,lo,hi,p,ci_excludes_zero
rouge1 - rouge2,-0.1024,-0.1646,-0.038,0.002,True
rouge1 - rougeL,-0.0532,-0.1005,-0.0074,0.023,True
rouge1 - bleu,-0.0492,-0.1131,0.0134,0.1289,False
rouge1 - bertscore_f1,-0.1921,-0.263,-0.1202,0.001,True
rouge2 - rougeL,0.0491,0.002,0.0952,0.044,True
rouge2 - bleu,0.0532,-0.006,0.1108,0.084,False
rouge2 - bertscore_f1,-0.0897,-0.1443,-0.0347,0.004,True
rougeL - bleu,0.004,-0.043,0.0509,0.8626,False
rougeL - bertscore_f1,-0.1388,-0.195,-0.0804,0.001,True
bleu - bertscore_f1,-0.1429,-0.2095,-0.0683,0.001,True
