metric,good_tier,diff,lo,hi,p,ci_excludes_zero
rouge1,zero_shot,0.3105,0.1246,0.4879,0.001,True
rouge1,few_shot,0.3407,0.1749,0.5186,0.001,True
rouge2,zero_shot,0.2546,0.0966,0.4158,0.003,True
rouge2,few_shot,0.1964,0.04,0.3451,0.012,True
rougeL,zero_shot,0.3614,0.1945,0.5272,0.001,True
rougeL,few_shot,0.2747,0.107,0.4436,0.002,True
bleu,zero_shot,0.241,0.0801,0.4077,0.002,True
bleu,few_shot,0.186,0.0239,0.3565,0.024,True
bertscore_f1,zero_shot,0.2168,0.0707,0.3589,0.01,True
bertscore_f1,few_shot,0.0939,-0.0445,0.24,0.1959,False
