dimension,metric,pooled,adjusted
consistency,rouge1,0.2879,0.1512
consistency,rouge2,0.3642,0.2502
consistency,rougeL,0.3151,0.1782
consistency,bleu,0.2885,0.1366
consistency,bertscore_f1,0.3567,0.313
completeness,rouge1,0.2581,0.0813
completeness,rouge2,0.2832,0.1645
completeness,rougeL,0.2786,0.1215
completeness,bleu,0.3092,0.1252
completeness,bertscore_f1,0.2677,0.24
coherence,rouge1,0.2819,0.0091
coherence,rouge2,0.3112,0.1316
coherence,rougeL,0.319,0.1049
coherence,bleu,0.3931,0.126
coherence,bertscore_f1,0.2643,0.22
mean,rouge1,0.3547,0.1504
mean,rouge2,0.3981,0.2528
mean,rougeL,0.3801,0.2037
mean,bleu,0.4099,0.1996
mean,bertscore_f1,0.371,0.3425
